Year_Conf,Conf_Abb,Conf_Rk,Conf_Full,Conf_Rating,,,,,,,,
2023,Big 12,1,Big 12 Conference,17.99,,,,,,,,
2023,Big Ten,2,Big Ten Conference,14.88,,,,,,,,
2023,Big East,3,Big East Conference,13.95,,,,,,,,
2023,SEC,4,Southeastern Conference,12.57,,,,,,,,
2023,Pac-12,5,Pac 12 Conference,11.58,,,,,,,,
2023,MWC,6,Mountain West Conference,9.26,,,,,,,,
2023,ACC,7,Atlantic Coast Conference,8.58,,,,,,,,
2023,AAC,8,American Athletic Conference,6.72,,,,,,,,
2023,WCC,9,West Coast Conference,6.27,,,,,,,,
2023,CUSA,10,Conference USA,3.6,,,,,,,,
2023,WAC,11,Western Athletic Conference,2.09,,,,,,,,
2023,Ivy,12,Ivy League,1.02,,,,,,,,
2023,A-10,13,Atlantic 10 Conference,0.7,,,,,,,,
2023,Sun Belt,14,Sun Belt Conference,0.09,,,,,,,,
2023,Big West,15,Big West Conference,-1.51,,,,,,,,
2023,MVS,16,Missouri Valley Conference,-1.86,,,,,,,,
2023,Big Sky,17,Big Sky Conference,-2.64,,,,,,,,
2023,A-Sun,18,ASUN Conference,-3.22,,,,,,,,
2023,MAC,19,Mid American Conference,-3.71,,,,,,,,
2023,Southern,20,Southern Conference,-3.73,,,,,,,,
2023,Horizon,21,Horizon League,-5.38,,,,,,,,
2023,Big South,22,Big South Conference,-5.63,,,,,,,,
2023,MAAC,23,Metro Atlantic Athletic Conference,-5.78,,,,,,,,
2023,Summit,24,Summit League,-6.56,,,,,,,,
2023,AEC,25,America East Conference,-7.23,,,,,,,,
2023,CAA,26,Colonial Athletic Association,-7.58,,,,,,,,
2023,Patriot,27,Patriot League,-8.2,,,,,,,,
2023,MEAC,28,Mid-Eastern Athletic Conference,-9.72,,,,,,,,
2023,OVC,29,Ohio Valley Conference,-10.36,,,,,,,,
2023,Southland,30,Southland Conference,-11.85,,,,,,,,
2023,SWAC,31,Southwestern Athletic Conference,-12.5,,,,,,,,
2023,NEC,32,Northeast Conference,-15.22,,,,,,,,
2023,Ind,33,Independents,-19.79,,,,,,,,
2022,Big 12,1,Big 12 Conference,18.74,,,,,,,,
2022,SEC,2,Southeastern Conference,14.46,,,,,,,,
2022,Big Ten,3,Big Ten Conference,13.51,,,,,,,,
2022,Big East,4,Big East Conference,12.51,,,,,,,,
2022,ACC,5,Atlantic Coast Conference,10.69,,,,,,,,
2022,Pac-12,6,Pac 12 Conference,9.55,,,,,,,,
2022,MWC,7,Mountain West Conference,8.21,,,,,,,,
2022,AAC,8,American Athletic Conference,7,,,,,,,,
2022,WCC,9,West Coast Conference,5.38,,,,,,,,
2022,A-10,10,Atlantic 10 Conference,4.5,,,,,,,,
2022,MVS,11,Missouri Valley Conference,3.98,,,,,,,,
2022,Southern,12,Southern Conference,0.31,,,,,,,,
2022,CUSA,13,Conference USA,-0.01,,,,,,,,
2022,CAA,14,Colonial Athletic Association,-0.83,,,,,,,,
2022,WAC,15,Western Athletic Conference,-1.51,,,,,,,,
2022,MAAC,16,Metro Atlantic Athletic Conference,-2.19,,,,,,,,
2022,Sun Belt,17,Sun Belt Conference,-2.32,,,,,,,,
2022,Ivy,18,Ivy League,-2.62,,,,,,,,
2022,Big West,19,Big West Conference,-3.47,,,,,,,,
2022,MAC,20,Mid American Conference,-5.45,,,,,,,,
2022,A-Sun,21,ASUN Conference,-5.79,,,,,,,,
2022,Summit,22,Summit League,-6.34,,,,,,,,
2022,OVC,23,Ohio Valley Conference,-6.46,,,,,,,,
2022,Big South,24,Big South Conference,-6.58,,,,,,,,
2022,Big Sky,25,Big Sky Conference,-7.27,,,,,,,,
2022,Horizon,26,Horizon League,-8.69,,,,,,,,
2022,AEC,27,America East Conference,-9.1,,,,,,,,
2022,Patriot,28,Patriot League,-10.51,,,,,,,,
2022,NEC,29,Northeast Conference,-10.79,,,,,,,,
2022,MEAC,30,Mid-Eastern Athletic Conference,-10.93,,,,,,,,
2022,Southland,31,Southland Conference,-11.62,,,,,,,,
2022,SWAC,32,Southwestern Athletic Conference,-12.01,,,,,,,,
2021,Big Ten,1,Big Ten Conference,18.68,,,,,,,,
2021,Big 12,2,Big 12 Conference,16.55,,,,,,,,
2021,Pac-12,3,Pac 12 Conference,16.21,,,,,,,,
2021,SEC,4,Southeastern Conference,14.32,,,,,,,,
2021,ACC,5,Atlantic Coast Conference,13.22,,,,,,,,
2021,Big East,6,Big East Conference,13.2,,,,,,,,
2021,AAC,7,American Athletic Conference,8.02,,,,,,,,
2021,WCC,8,West Coast Conference,7.78,,,,,,,,
2021,A-10,9,Atlantic 10 Conference,6.01,,,,,,,,
2021,MVS,10,Missouri Valley Conference,2.99,,,,,,,,
2021,MWC,11,Mountain West Conference,2.72,,,,,,,,
2021,MAC,12,Mid American Conference,1.22,,,,,,,,
2021,CUSA,13,Conference USA,1.01,,,,,,,,
2021,Southern,14,Southern Conference,0.99,,,,,,,,
2021,Big West,15,Big West Conference,-2.36,,,,,,,,
2021,Summit,16,Summit League,-4.49,,,,,,,,
2021,Ivy,17,Ivy League,-4.66,,,,,,,,
2021,Big Sky,18,Big Sky Conference,-4.89,,,,,,,,
2021,CAA,19,Colonial Athletic Association,-5.06,,,,,,,,
2021,Horizon,20,Horizon League,-5.79,,,,,,,,
2021,Sun Belt,21,Sun Belt Conference,-6.02,,,,,,,,
2021,OVC,22,Ohio Valley Conference,-6.98,,,,,,,,
2021,WAC,23,Western Athletic Conference,-7.14,,,,,,,,
2021,Patriot,24,Patriot League,-7.31,,,,,,,,
2021,AEC,25,America East Conference,-7.56,,,,,,,,
2021,A-Sun,26,ASUN Conference,-8.26,,,,,,,,
2021,MAAC,27,Metro Atlantic Athletic Conference,-8.4,,,,,,,,
2021,Big South,28,Big South Conference,-9.14,,,,,,,,
2021,NEC,29,Northeast Conference,-10.92,,,,,,,,
2021,Southland,30,Southland Conference,-12.16,,,,,,,,
2021,MEAC,31,Mid-Eastern Athletic Conference,-15.61,,,,,,,,
2021,SWAC,32,Southwestern Athletic Conference,-16.82,,,,,,,,
2020,Big Ten,1,Big Ten Conference,17.49,,,,,,,,
2020,Big 12,2,Big 12 Conference,15.73,,,,,,,,
2020,Big East,3,Big East Conference,15.49,,,,,,,,
2020,ACC,4,Atlantic Coast Conference,11.45,,,,,,,,
2020,Pac-12,5,Pac 12 Conference,11.35,,,,,,,,
2020,SEC,6,Southeastern Conference,10.98,,,,,,,,
2020,AAC,7,American Athletic Conference,8.62,,,,,,,,
2020,WCC,8,West Coast Conference,5.29,,,,,,,,
2020,A-10,9,Atlantic 10 Conference,5.01,,,,,,,,
2020,MWC,10,Mountain West Conference,4.99,,,,,,,,
2020,MVS,11,Missouri Valley Conference,2.46,,,,,,,,
2020,MAC,12,Mid American Conference,0.22,,,,,,,,
2020,CUSA,13,Conference USA,-0.12,,,,,,,,
2020,Sun Belt,14,Sun Belt Conference,-0.14,,,,,,,,
2020,Southern,15,Southern Conference,-0.2,,,,,,,,
2020,Ivy,16,Ivy League,-0.95,,,,,,,,
2020,Big Sky,17,Big Sky Conference,-2.26,,,,,,,,
2020,CAA,18,Colonial Athletic Association,-3.35,,,,,,,,
2020,Summit,19,Summit League,-3.53,,,,,,,,
2020,Big West,20,Big West Conference,-5.07,,,,,,,,
2020,MAAC,21,Metro Atlantic Athletic Conference,-6.3,,,,,,,,
2020,Horizon,22,Horizon League,-6.46,,,,,,,,
2020,Patriot,23,Patriot League,-6.55,,,,,,,,
2020,WAC,24,Western Athletic Conference,-6.64,,,,,,,,
2020,AEC,25,America East Conference,-7.69,,,,,,,,
2020,A-Sun,26,ASUN Conference,-8.16,,,,,,,,
2020,NEC,27,Northeast Conference,-8.63,,,,,,,,
2020,Southland,28,Southland Conference,-9.41,,,,,,,,
2020,OVC,29,Ohio Valley Conference,-9.67,,,,,,,,
2020,Big South,30,Big South Conference,-10.82,,,,,,,,
2020,SWAC,31,Southwestern Athletic Conference,-14.37,,,,,,,,
2020,MEAC,32,Mid-Eastern Athletic Conference,-15.47,,,,,,,,
2019,Big 12,1,Big 12 Conference,17.68,,,,,,,,
2019,Big Ten,2,Big Ten Conference,16.73,,,,,,,,
2019,ACC,3,Atlantic Coast Conference,15.33,,,,,,,,
2019,SEC,4,Southeastern Conference,14.64,,,,,,,,
2019,Big East,5,Big East Conference,10.46,,,,,,,,
